Timestamp,Temperature,Humidity
2026-06-23 21:01:43.964245,37.39,66.47
2026-06-23 21:01:45.964894,26.85,51.67
2026-06-23 21:01:47.966934,39.55,68.86
2026-06-23 21:01:49.966692,28.42,42.45
2026-06-23 21:01:51.967809,31.7,53.82
2026-06-23 21:01:53.969283,26.7,60.46
2026-06-23 21:01:55.973805,30.4,50.11
2026-06-23 21:01:57.970536,31.24,59.35
2026-06-23 21:01:59.972475,38.38,49.29
2026-06-23 21:02:01.972923,39.87,41.61
2026-06-23 21:02:03.974406,30.04,42.03
2026-06-23 21:02:05.975115,34.3,58.56
2026-06-23 21:02:07.976305,36.01,56.53
2026-06-23 21:02:09.977525,36.95,47.39
2026-06-23 21:02:11.978413,30.96,66.46
2026-06-23 21:02:13.979621,34.21,46.68
2026-06-23 21:02:15.980578,26.93,65.78
2026-06-23 21:02:17.981883,33.79,56.38
2026-06-23 21:02:19.983368,38.23,50.3
2026-06-23 21:02:21.983256,33.21,64.2
2026-06-23 21:02:23.984133,32.9,59.7
2026-06-23 21:02:25.985858,37.31,52.2
2026-06-23 21:02:27.987162,36.81,42.95
2026-06-23 21:02:29.987449,26.32,47.7
2026-06-23 21:02:31.988520,30.43,46.52
2026-06-23 21:02:33.988402,37.85,45.2
2026-06-23 21:02:35.989060,39.04,41.23
2026-06-23 21:02:37.990254,39.38,53.19
2026-06-23 21:02:39.991163,29.2,42.86
2026-06-23 21:02:41.992614,29.73,47.71
2026-06-23 21:02:43.993260,28.51,44.4
2026-06-23 21:02:45.995123,33.93,54.93
2026-06-23 21:02:47.994412,35.78,59.28
2026-06-23 21:02:49.995878,39.05,53.16
2026-06-23 21:02:51.996158,27.86,59.69
2026-06-23 21:07:33.575557,34.01,53.96
2026-06-23 21:07:35.575955,35.04,55.24
2026-06-23 21:07:37.577311,36.44,46.23
2026-06-23 21:07:39.579852,29.24,58.61
2026-06-23 21:07:41.580339,29.7,52.84
2026-06-23 21:07:43.580845,38.01,62.04
2026-06-23 21:07:45.582667,35.21,52.59
2026-06-23 21:07:47.581905,27.24,43.32
2026-06-23 21:07:49.582974,25.6,42.91
2026-06-23 21:07:51.584422,26.47,49.1
2026-06-23 21:28:13.595581,32.39,65.07
2026-06-23 21:28:15.596822,29.15,59.6
2026-06-23 21:28:17.597267,31.09,49.42
2026-06-23 21:28:19.598465,28.4,69.68
2026-06-23 21:28:21.598931,25.09,54.76
2026-06-23 21:28:23.600347,31.36,44.99
2026-06-23 21:28:25.601285,25.4,43.49
2026-06-23 21:28:27.602138,39.04,60.47
2026-06-23 21:28:29.603006,31.86,57.2
2026-06-23 21:28:31.603848,30.78,58.05
2026-06-23 21:28:33.605727,35.92,48.6
2026-06-23 21:28:35.605990,27.98,44.86
2026-06-23 21:28:37.607225,37.53,65.21
2026-06-23 21:28:39.608089,38.31,49.16
2026-06-23 21:28:41.609403,29.06,66.62
2026-06-23 21:28:43.610113,34.19,69.84
2026-06-23 21:28:45.611387,36.54,45.67
2026-06-23 21:28:47.612416,32.33,47.66
2026-06-23 21:28:49.613426,35.01,46.66
2026-06-23 21:28:51.614125,26.49,69.94
2026-06-23 21:28:53.615216,27.16,64.61
2026-06-23 21:28:55.616282,25.76,51.04
2026-06-23 21:28:57.617426,28.33,67.14
2026-06-23 21:28:59.618157,36.86,45.48
2026-06-23 21:29:01.619498,30.78,63.41
2026-06-23 21:29:03.620565,25.45,58.21
2026-06-23 21:29:05.621905,33.71,59.53
2026-06-23 21:29:07.622775,32.0,51.45
2026-06-23 21:29:09.624843,25.04,62.0
2026-06-23 21:29:11.623976,30.74,57.05
2026-06-23 21:29:13.625390,33.04,52.76
2026-06-23 21:29:15.625991,26.53,67.69
2026-06-23 21:29:17.626844,37.18,68.95
2026-06-23 21:29:19.627879,37.28,67.46
2026-06-23 21:29:21.628377,29.7,67.36
2026-06-23 21:29:23.630252,39.1,62.16
2026-06-23 21:29:25.630800,25.93,51.74
2026-06-23 21:29:27.632014,25.49,56.06
2026-06-23 21:29:29.632580,27.21,67.32
2026-06-23 21:29:31.633216,33.52,52.49
2026-06-23 21:29:33.634313,39.89,51.07
2026-06-23 21:29:35.634852,38.27,47.13
2026-06-23 21:29:37.636345,34.03,55.92
2026-06-23 21:29:39.637834,29.2,65.55
2026-06-23 21:29:41.639251,39.43,46.74
2026-06-23 21:29:43.639653,34.72,53.89
2026-06-23 21:29:45.640920,30.02,48.33
2026-06-23 21:29:47.641931,27.56,48.66
2026-06-23 21:29:49.642636,28.9,46.45
2026-06-23 21:29:51.643561,27.49,48.17
2026-06-23 21:29:53.644968,26.99,54.89
2026-06-23 21:29:55.645666,34.17,56.47
2026-06-23 21:29:57.646930,28.16,55.87
2026-06-23 21:29:59.648128,29.61,49.04
2026-06-23 21:30:01.649144,27.82,42.42
2026-06-23 21:30:03.650444,27.11,62.4
2026-06-23 21:30:05.652082,25.62,53.35
2026-06-23 21:30:07.653322,34.03,49.6
2026-06-23 21:30:09.653887,39.87,41.72
2026-06-23 21:30:11.654216,28.82,46.1
2026-06-23 21:30:13.656377,37.79,58.62
2026-06-23 21:30:15.656387,36.66,59.25
2026-06-23 21:30:17.657199,30.92,67.98
2026-06-23 21:30:19.658332,27.62,54.13
2026-06-23 21:30:21.659315,39.31,44.35
2026-06-23 21:30:23.660512,37.68,65.91
2026-06-23 21:30:25.661408,36.59,65.32
2026-06-23 21:30:27.661858,34.81,58.05
2026-06-23 21:30:29.662956,36.95,63.65
2026-06-23 21:30:31.663541,30.99,67.75
2026-06-23 21:30:33.665392,26.71,64.48
2026-06-23 21:30:35.664962,34.11,55.9
2026-06-23 21:30:37.665700,39.29,54.39
2026-06-23 21:30:39.666963,39.1,46.95
2026-06-23 21:30:41.669692,25.43,62.16
2026-06-23 21:30:43.669188,30.13,63.35
2026-06-23 21:30:45.669626,32.42,47.2
2026-06-23 21:30:47.670377,28.13,59.51
2026-06-23 21:30:49.671696,25.91,47.19
2026-06-23 21:30:51.671914,39.93,43.06
2026-06-23 21:30:53.672891,37.03,65.51
2026-06-23 21:30:55.673461,35.42,55.19
2026-06-23 21:30:57.674574,26.35,54.55
2026-06-23 21:30:59.675385,34.26,52.15
2026-06-23 21:31:01.676740,29.69,42.16
2026-06-23 21:31:03.677760,25.23,45.07
2026-06-23 21:31:05.677777,29.51,67.16
2026-06-23 21:31:07.679132,26.06,54.43
2026-06-23 21:31:09.679553,35.82,53.67
2026-06-23 21:31:11.680820,38.66,44.11
2026-06-23 21:31:13.681554,39.82,58.17
2026-06-23 21:31:15.683248,38.49,68.53
2026-06-23 21:31:17.684439,32.76,54.12
2026-06-23 21:31:19.684893,39.17,57.48
2026-06-23 21:31:21.685662,32.88,51.36
2026-06-23 21:31:23.687217,30.36,66.24
2026-06-23 21:31:25.687735,31.79,45.74
2026-06-23 21:31:27.689008,27.86,50.26
2026-06-23 21:31:29.690568,29.63,53.23
2026-06-23 21:31:31.690735,37.08,56.17
